year,annual_anomaly_c,annual_uncertainty_c,five_year_anomaly_c,five_year_uncertainty_c
1850,-0.321,0.321,,
1851,-0.248,0.186,,
1852,-0.207,0.165,-0.238,0.172
1853,-0.208,0.212,-0.197,0.132
1854,-0.209,0.123,-0.204,0.114
1855,-0.116,0.140,-0.238,0.108
1856,-0.282,0.163,-0.259,0.102
1857,-0.377,0.145,-0.270,0.100
1858,-0.308,0.145,-0.289,0.106
1859,-0.265,0.103,-0.288,0.118
1860,-0.213,0.171,-0.293,0.111
1861,-0.275,0.200,-0.303,0.112
1862,-0.404,0.140,-0.313,0.107
1863,-0.356,0.179,-0.277,0.096
1864,-0.317,0.146,-0.255,0.066
1865,-0.031,0.207,-0.229,0.095
1866,-0.166,0.198,-0.167,0.130
1867,-0.278,0.258,-0.123,0.106
1868,-0.045,0.228,-0.159,0.123
1869,-0.096,0.176,-0.155,0.139
1870,-0.210,0.166,-0.131,0.112
1871,-0.146,0.122,-0.160,0.107
1872,-0.160,0.149,-0.207,0.122
1873,-0.189,0.178,-0.205,0.111
1874,-0.327,0.184,-0.227,0.129
1875,-0.201,0.135,-0.178,0.144
1876,-0.259,0.190,-0.124,0.135
1877,0.087,0.203,-0.094,0.123
1878,0.083,0.110,-0.092,0.128
1879,-0.178,0.133,-0.068,0.111
1880,-0.190,0.162,-0.123,0.098
1881,-0.142,0.115,-0.188,0.107
1882,-0.190,0.096,-0.226,0.108
1883,-0.239,0.140,-0.261,0.103
1884,-0.369,0.142,-0.305,0.105
1885,-0.367,0.156,-0.352,0.101
1886,-0.361,0.097,-0.351,0.102
1887,-0.424,0.103,-0.301,0.088
1888,-0.233,0.121,-0.305,0.072
1889,-0.119,0.118,-0.290,0.092
1890,-0.386,0.063,-0.286,0.099
1891,-0.285,0.174,-0.313,0.090
1892,-0.407,0.151,-0.355,0.088
1893,-0.367,0.092,-0.330,0.104
1894,-0.329,0.107,-0.300,0.101
1895,-0.264,0.137,-0.241,0.114
1896,-0.132,0.161,-0.226,0.132
